OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
27,37,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1986,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464040,Middle Lacepede,Indian Ocean - East,Australia,Lacepede Islands,-16.85551662,122.1367045,0.745973157,None
53,3206,Black Rat,Rattus rattus,Rodent,null,Good,2016,2016,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Robinson Sue,DIPWE Tasmania,https://dpipwe.tas.gov.au/,26007,Big Green,Pacific Ocean - South West,Australia,Tasmanian Islands (Furneaux Group),-40.18464237,147.9786118,1.227897227,10-Jan
119,140,Black Rat,Rattus rattus,Rodent,1918,Good,1983,1983,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331990,Double Islands North,Indian Ocean - East,Australia,Western Australia (Barrow Islands),-20.73768214,115.4949942,0.164900538,None
131,154,Black Rat,Rattus rattus,Rodent,null,Good,null,2005,Successful,Whole Island,Trapping,Toxicant,NA,Hand Broadcast,NA,Chlorophacinone,Bromadiolone,null,null,null,242063,Plane (Caleseragne),Mediterranean,France,Marseille Islands (Riou Archipelago),43.18782186,5.38582425,0.151753954,None
150,184,Black Rat,Rattus rattus,Rodent,1940,Good,1994,1997,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,Other,Brodifacoum,Bromethalin,Flint; Beth,US Fish and Wildlife Service,null,31194,Sand,Pacific Ocean - North East,United States,Hawaiian Islands (Midway Atoll),28.20777515,-177.378933,4.443869838,11 - 100
151,185,Black Rat,Rattus rattus,Rodent,1940,Satisfactory,1993,1994,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,Other,Brodifacoum,Bromethalin,Flint; Beth,US Fish and Wildlife Service,null,27090,Eastern,Pacific Ocean - North East,United States,Hawaiian Islands (Midway Atoll),28.20955113,-177.3314535,1.376023979,None
152,186,Black Rat,Rattus rattus,Rodent,null,Good,2002,2004,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Difenacoum,Bromadiolone,Bell; Biz,National Trust; RSPB; English Nature; Wildlife Management International Limited,null,242171,Lundy,Atlantic Ocean - North,United Kingdom,Bristol Channel,51.17794887,-4.66958038,4.315785295,11 - 100
154,188,Black Rat,Rattus rattus,Rodent,null,Poor,2002,2002,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Diphacinone,NA,null,null,null,400130,Mokolii,Pacific Ocean - North East,United States,Hawaiian Islands,21.50960099,-157.82944,0.019328324,None
156,190,Black Rat,Rattus rattus,Rodent,null,Good,1995,1995,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386024,Great Bird,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.14556982,-61.72491686,0.080138756,None
157,191,Black Rat,Rattus rattus,Rodent,null,Good,2001,2001,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386024,Great Bird,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.14556982,-61.72491686,0.080138756,None
159,195,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,26953,Motutapere,Pacific Ocean - South West,New Zealand,Coromandel Harbor,-36.77969089,175.429072,0.498060118,11 - 100
161,201,Black Rat,Rattus rattus,Rodent,null,Good,2005,2005,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,237607,Kasidis,Mediterranean,Greece,Lagofitonisia,39.10632273,24.09189981,0.002887697,None
162,202,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2006,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,243378,Kastronisia - 2,Mediterranean,Greece,Sporades Islands,39.2135604,23.4618503,0.010681126,None
164,205,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Cholecalciferol,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,110000401,San Jorge Este,Pacific Ocean - North East,Mexico,Gulf of California,31.01793412,-113.2482091,0.009906497,None
171,214,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2001,2001,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Bromadiolone,NA,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,464225,Folaca,Mediterranean,France,Corsican Islands,41.54840143,9.31497223,0.016399811,None
187,229,Black Rat,Rattus rattus,Rodent,1800,Good,1997,1997,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Dervaux; Antoine,Department of Conservation of Natural Heritage  French Southern and Antarctic Lands,null,457862,Saint-Paul,Indian Ocean - West,French Southern Territories,Amsterdam and St. Paul Islands,-38.72212156,77.52352343,8.571098926,None
189,231,Black Rat,Rattus rattus,Rodent,1400,Good,2000,2000,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Bromadiolone,NA,Lorvelec; O.,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,236500,Lavezzu,Mediterranean,France,Lavezzi Archipelago,41.34056962,9.25586421,0.64713025,None
197,244,Black Rat,Rattus rattus,Rodent,null,Good,1998,1998,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Hayes; William,null,null,464093,White (Sandy) Cay,Caribbean,Bahamas,Bahamas (Exuma Islands),23.40296039,-75.43474395,0.158033188,None
198,245,Black Rat,Rattus rattus,Rodent,1800,Good,2002,2002,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Dervaux; Antoine,Department of Conservation of Natural Heritage  French Southern and Antarctic Lands,null,15146,Chateau,Indian Ocean - West,French Southern Territories,Kerguelen Islands (Golfe du Morbihan),-49.4941167,69.92432199,2.231428297,None
208,261,Black Rat,Rattus rattus,Rodent,null,Poor,1990,1991,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Unknown,NA,Thibault; Jean-Claude,null,null,236425,Toro,Mediterranean,France,Corsican Islands (Cerbicale Islands),41.50799769,9.37998942,0.011683548,None
210,263,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2005,2005,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,NA,Unknown,NA,null,null,null,35020,Nonsuch ,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34736416,-64.66284194,0.070258988,10-Jan
212,265,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1985,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Warfarin,Diphacinone,null,null,null,35020,Nonsuch ,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34736416,-64.66284194,0.070258988,10-Jan
218,273,Black Rat,Rattus rattus,Rodent,null,Good,2002,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,www.irf.org,420441,Sandy (White),Caribbean,Virgin Islands British,Lesser Antilles (British Virgin Islands),18.43614768,-64.70941168,0.058788578,None
242,305,Black Rat,Rattus rattus,Rodent,1890,Good,2005,2005,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Bromadiolone,NA,Pascal; Michel,Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu,null,334428,Surprise,Pacific Ocean - South West,New Caledonia,New Caledonia Islands,-18.4813456,163.0863698,0.230005118,None
254,326,Black Rat,Rattus rattus,Rodent,1996,Good,2005,2005,Successful,Whole Island,Trapping,Toxicant,NA,Bait Station,NA,Brodifacoum,NA,Wilson; T.,NZ Dept. of Conservation,null,27043,Goat (Hawere),Pacific Ocean - South West,New Zealand,Hauraki Gulf,-36.26575248,174.7974569,0.122771679,11 - 100
257,329,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1991,1991,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Broome; Keith,NZ Dept. of Conservation,null,30629,Haulashore,Pacific Ocean - South West,New Zealand,Nelson Islands,-41.26730488,173.2574878,0.115958778,None
261,341,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2005,2006,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,239705,Giannutri,Mediterranean,Italy,Tuscan Islands,42.25079084,11.10430845,2.395232594,11 - 100
281,362,Black Rat,Rattus rattus,Rodent,null,Good,2001,2001,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331193,Bluebell,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.39611355,115.5217035,0.568006442,None
284,365,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331554,Ah Chong,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.52538442,115.5453197,0.189797399,None
286,367,Black Rat,Rattus rattus,Rodent,null,Good,1999,1999,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464055,Delta,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.44207163,115.5479196,0.427025519,None
288,369,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331672,South East,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.42413308,115.5912296,0.14947943,None
289,371,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1986,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464199,Sandy,Indian Ocean - East,Australia,Lacepede Islands,-16.88118556,122.1695768,0.071598908,None
295,382,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1987,1992,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Merton; D.,NZ Dept. of Conservation,pestoff.co.nz,19363,Ile aux Aigrettes,Indian Ocean - West,Mauritius,Mauritius Islands,-20.41948159,57.73363991,0.262033171,10-Jan
296,383,Black Rat,Rattus rattus,Rodent,1970,Good,1996,1997,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Merton; D.,NZ Dept. of Conservation,pestoff.co.nz,19662,Bird,Indian Ocean - West,Seychelles,Seychelles,-3.719388162,55.20568274,0.990884741,11 - 100
300,389,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2007,2007,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,239719,Zannone,Mediterranean,Italy,Pontine Islands,40.96868508,13.05487082,1.057376391,10-Jan
302,391,Black Rat,Rattus rattus,Rodent,null,Good,2001,2002,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,34693,Anacapa West,Pacific Ocean - North East,United States,Channel Islands,34.01100568,-119.4256841,1.817038165,None
303,392,Black Rat,Rattus rattus,Rodent,null,Good,2001,2002,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Island Conservation,Island Conservation,www.islandconservation.org,38057,Anacapa East,Pacific Ocean - North East,United States,Channel Islands,34.01469286,-119.3674569,0.451866486,10-Jan
307,398,Black Rat,Rattus rattus,Rodent,null,Poor,null,1964,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464081,Heron,Pacific Ocean - South West,Australia,Capricorn,-23.44291072,151.9148492,0.246976833,None
322,417,Black Rat,Rattus rattus,Rodent,1960,Good,2006,2006,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,McClelland; Pete,NZ Dept. of Conservation,null,24470,Pukeweka,Pacific Ocean - South West,New Zealand,Titi Islands,-47.22448856,167.4371402,0.032900556,None
323,418,Black Rat,Rattus rattus,Rodent,1964,Good,2006,2006,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,McClelland; Pete,NZ Dept. of Conservation,null,23995,Taukihepa/Big South Cape,Pacific Ocean - South West,New Zealand,Stewart Islands,-47.24063574,167.4079514,9.187654341,None
324,420,Black Rat,Rattus rattus,Rodent,1960,Good,2006,2006,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Bait Station,Brodifacoum,NA,McClelland; Pete,NZ Dept. of Conservation,null,24471,Solomon/ Rerewhakaupoko,Pacific Ocean - South West,New Zealand,Stewart Islands,-47.2208811,167.4355043,0.285942087,None
327,425,Black Rat,Rattus rattus,Rodent,null,Good,1998,1999,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Garcia; M.A.,Bureau of Fisheries and Wildlife; Puerto Rico Dept. of Natural and Environmental Resources,null,420046,Monito,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands),18.1596361,-67.94899162,0.145848324,None
330,430,Black Rat,Rattus rattus,Rodent,null,Good,2006,2006,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Varnham; Karen,Antiguan Racer Conservation Project; Island Resources Foundation,www.irf.org,386026,York,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.05324639,-61.66916667,0.07164771,None
336,437,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,36427,San Jorge Medio,Pacific Ocean - North East,Mexico,Gulf of California,31.01222994,-113.2440806,0.140256346,None
337,438,Black Rat,Rattus rattus,Rodent,null,Good,2000,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Diphacinone,NA,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,36426,San Jorge Oeste,Pacific Ocean - North East,Mexico,Gulf of California,31.00632429,-113.2431372,0.024567331,None
345,448,Black Rat,Rattus rattus,Rodent,null,Good,2002,2002,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Climo; G.,Island Owner,null,19656,Denis,Indian Ocean - West,Seychelles,Seychelles,-3.805198508,55.6669783,1.276332878,101 - 1000
352,461,Black Rat,Rattus rattus,Rodent,null,Good,1982,1983,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Taylor; D.,null,null,30852,Awaiti (Tawhitinui),Pacific Ocean - South West,New Zealand,Marlborough Sound,-41.05311314,173.8067899,0.030767037,None
353,465,Black Rat,Rattus rattus,Rodent,null,Good,1970,1975,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Warfarin,NA,Merton; D.,NZ Dept. of Conservation,pestoff.co.nz,27000,Titi,Pacific Ocean - South West,New Zealand,Marlborough Sound,-40.9511942,174.1392583,0.222852385,None
354,3105,Black Rat,Rattus rattus,Rodent,null,Good,2003,2004,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Liske-Clark J.,null,null,357901,Managaha,Pacific Ocean - North West,Northern Mariana Islands,Mariana Islands,15.24142794,145.7123116,0.06507454,None
368,479,Black Rat,Rattus rattus,Rodent,1900,Good,1995,1996,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Brodifacoum,NA,Velarde; Enriqueta,UNAM,null,30458,Rasa,Pacific Ocean - North East,Mexico,Gulf of California (Midriff Islands),28.82381016,-112.9798053,0.479103375,None
384,496,Black Rat,Rattus rattus,Rodent,1890,Good,1990,1991,Successful,Restricted Range,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Quinn Julie,AU Department of the Environment,http://environment.gov.au/,330666,Barrow,Indian Ocean - East,Australia,Western Australia (Barrow Islands),-20.78776621,115.3996566,236.2871797,101 - 1000
404,524,Black Rat,Rattus rattus,Rodent,null,Good,2001,2001,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,332089,Hermite,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.46480236,115.5288074,9.543756801,None
405,526,Black Rat,Rattus rattus,Rodent,null,Good,2001,2001,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,332140,Alpha,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.40935637,115.5266734,0.971357203,None
406,527,Black Rat,Rattus rattus,Rodent,null,Good,1999,1999,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,332141,Campbell,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.42895299,115.5446614,0.305262357,None
407,528,Black Rat,Rattus rattus,Rodent,null,Good,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331986,Brooke,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.43357061,115.5044046,0.109035301,None
409,531,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1996,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331194,North West,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.36441215,115.5265395,1.148261803,None
410,532,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1993,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,25317,Pigeon,Indian Ocean - East,Australia,Abrolhos Islands,-28.45399555,113.7267029,0.036390661,Unknown
458,618,Black Rat,Rattus rattus,Rodent,1900,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Springer; Keith,Tasmania Parks and Wildlife Service,http://www.parks.tas.gov.au/index.aspx?base=13013,20167,Macquarie,Pacific Ocean - South West,Australia,Macquarie Islands,-54.62839539,158.8643089,129.5628917,11 - 100
634,823,Black Rat,Rattus rattus,Rodent,null,Good,1994,1995,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,Bromethalin,Samaniego; Araceli,Grupo de Ecologia y Conservacion de Islas,www.islas.org.mx,8406,San Roque,Pacific Ocean - North East,Mexico,Pacific Coast Baja California Peninsula,27.14690418,-114.3770111,0.40435311,None
636,825,Black Rat,Rattus rattus,Rodent,null,Good,1998,1998,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,Bell; Brian,Wildlife Management Int'l Limited,null,19345,Flat,Indian Ocean - West,Mauritius,Mauritius Islands,-19.87612683,57.65748488,2.431373191,None
638,827,Black Rat,Rattus rattus,Rodent,null,Good,1995,1995,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,Bromadiolone,Bell; Brian,Wildlife Management Int'l Limited,null,19347,Gabriel,Indian Ocean - West,Mauritius,Mauritius Islands,-19.88493462,57.67260896,0.338497502,None
642,831,Black Rat,Rattus rattus,Rodent,null,Good,1981,1981,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464131,Bedout,Indian Ocean - East,Australia,Western Australia,-19.58923625,119.0998719,0.301240884,None
645,835,Black Rat,Rattus rattus,Rodent,1983,Satisfactory,1989,1989,Successful,Whole Island,Toxicant,Trapping,NA,Hand Broadcast,NA,1080,NA,null,null,null,356483,Pitt,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.703678387,-89.24724045,0.008418364,None
655,846,Black Rat,Rattus rattus,Rodent,null,Good,null,1993,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,21666,Rat,Indian Ocean - East,Australia,Abrolhos Islands,-28.71449447,113.7844166,0.613725996,101 - 1000
665,862,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2002,2002,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,null,null,null,362234,Bainbridge - 2,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.348447432,-90.55846518,0.023438502,None
667,864,Black Rat,Rattus rattus,Rodent,1961,Satisfactory,1988,1990,Successful,Whole Island,Toxicant,NA,NA,Unknown,NA,Brodifacoum,NA,McFadden; I,NZ Dept. of Conservation,null,27003,Somes (Matiu),Pacific Ocean - South West,New Zealand,Wellington Harbor,-41.25800801,174.8651843,0.289002556,Unknown
677,878,Black Rat,Rattus rattus,Rodent,1860,Good,1991,1991,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,332342,Middle,Indian Ocean - East,Australia,Western Australia (Barrow Islands),-20.91210993,115.3277301,3.531426102,None
679,881,Black Rat,Rattus rattus,Rodent,1860,Good,1983,1985,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Pindone,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331919,Boomerang,Indian Ocean - East,Australia,Western Australia (Barrow Islands),-20.73469918,115.4808921,0.070266878,None
