OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
1686,2605,Black Rat,Rattus rattus,Rodent,null,Good,1997,1997,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,331192,Primrose,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.37210406,115.5170679,0.354323958,None
1699,2621,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2009,Successful,Incursion Response,Trapping,NA,NA,NA,NA,NA,NA,null,null,null,26833,Lady Alice (Mauimua),Pacific Ocean - South West,New Zealand,Hen and Chicken Islands,-35.8898964,174.7280744,1.422812343,None
1700,2622,Black Rat,Rattus rattus,Rodent,null,Good,2009,2009,Successful,Incursion Response,Trapping,NA,NA,NA,NA,NA,NA,Hawkins; K.,NZ Dept. of Conservation,null,26862,Whatupuke (Mauiroto),Pacific Ocean - South West,New Zealand,Hen and Chicken Islands,-35.88954011,174.7540295,0.903676672,None
1747,2674,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,Toxicant,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,Unknown,Latofski Mariam,Grupo de Ecología y Conservación de Islas A.C.,http://www.islas.org.mx,394955,Cayo Centro,Caribbean,Mexico,Banco Chinchorro,18.58666374,-87.31998635,5.406436083,11 - 100
1754,2684,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,null,null,null,350252,Ngeriungs,Pacific Ocean - North West,Palau,Kayangel Atoll,8.058650668,134.7111281,0.358839974,None
1756,2691,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,null,null,null,350253,Orak,Pacific Ocean - North West,Palau,Kayangel Atoll,8.03991554,134.6939706,0.010978194,None
1789,2730,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2008,2008,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,NA,Unknown,NA,null,null,null,35020,Nonsuch ,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34736416,-64.66284194,0.070258988,10-Jan
1793,2739,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2007,2009,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,null,null,null,236005,Malgrat gran,Mediterranean,Spain,Balearic Islands (Mallorca Group),39.49819358,2.45062981,0.081653296,None
1794,2740,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2007,2009,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,null,null,null,236227,Malgrat petit,Mediterranean,Spain,Balearic Islands (Mallorca Group),39.50237199,2.45579876,0.010770954,None
1797,2744,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2008,2008,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Unknown,Unknown,null,null,null,236245,Bosc,Mediterranean,Spain,Balearic Islands (Ibiza Group),38.96898284,1.21695843,0.174594375,None
1804,2746,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2007,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,McMinn M.,null,null,235941,Conills (Conillera),Mediterranean,Spain,Balearic Islands (Cabrera Group),39.18349561,2.96416321,1.412355699,None
1805,2747,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2006,2008,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Bromadiolone,NA,McMinn M.,null,null,236369,Estell Xapat,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.12526414,2.93953539,0.01222046,None
1814,2757,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Unknown,Unknown,null,null,null,235945,Conillis (Conillera),Mediterranean,Spain,Balearic Islands (Ibiza Group),38.9852825,1.21197903,1.067899856,None
1816,2760,Black Rat,Rattus rattus,Rodent,null,Good,2008,2010,Successful,Whole Island,Toxicant,Trapping,NA,Hand Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19414,Kola Issa,Indian Ocean - West,Mayotte,Mayotte Islands (Ilots d'Hajangoua),-12.83799282,45.23493657,0.060630368,None
1817,2761,Black Rat,Rattus rattus,Rodent,null,Good,2009,2010,Successful,Whole Island,Trapping,NA,NA,NA,NA,NA,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,88888023,Pouhou,Indian Ocean - West,Mayotte,Mayotte Islands,-12.82765992,45.25331897,0.008669675,None
1818,2762,Black Rat,Rattus rattus,Rodent,null,Good,2009,2010,Successful,Whole Island,Toxicant,Trapping,NA,Hand Broadcast,NA,Brodifacoum,NA,Rocamora; Gérard,Island Conservation Society,http://www.islandconservationseychelles.com/,19411,Pengoua,Indian Ocean - West,Mayotte,Mayotte Islands (Ilots d'Hajangoua),-12.83902612,45.24637689,0.069503928,None
1819,2764,Black Rat,Rattus rattus,Rodent,null,Good,1997,1997,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,331987,Crocus,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.42250036,115.5257361,0.336516995,None
1826,2771,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888050,Aster,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.43038019,115.5789847,0.006479329,None
1827,2772,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,332347,Buttercup,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.48488907,115.5359086,0.056358423,None
1828,2773,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888044,Dahlia,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.4289418,115.5784767,0.020491372,None
1829,2774,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888061,Daisy,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.43941784,115.5803775,0.016882584,None
1830,2775,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,88888043,Dandelion,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.43242769,115.5795874,0.012019826,None
1831,2776,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888062,Epsilon,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.4446749,115.5808466,0.039520021,None
1832,2777,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,453837,Flag,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.45863891,115.5806206,0.057434994,None
1833,2778,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,88888052,Foxglove,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.48196581,115.5421943,0.018872517,None
1834,2779,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888063,Gannet,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.44686247,115.56861,0.005925957,None
1835,2780,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,332199,Gossypium,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.51455103,115.5449644,0.069643932,None
1836,2781,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,88888103,Hollyhock,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.37759657,115.5472561,0.007531762,None
1837,2782,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,88888055,How,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.41943892,115.5536775,0.00115138,None
1838,2783,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,453855,Ivy,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.4951356,115.5450039,0.048562894,None
1839,2784,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,88888054,Jonquil,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.39734573,115.5325269,0.005041271,None
1840,2785,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888049,Karangi,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.43378533,115.6031199,0.026047611,None
1841,2786,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888087,Kingcup,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.39078573,115.5317673,0.056153124,None
1842,2787,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,110000225,Lily,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.41959724,115.5863956,0.002018653,None
1843,2788,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,331872,Marigold,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.45743611,115.5558731,0.033484064,None
1844,2789,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,464148,Pansy,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.37280613,115.5449811,0.040328633,None
1845,2790,Black Rat,Rattus rattus,Rodent,null,Good,null,1996,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Burbidge; A.A.,Department of Conservation and Land Management; Aus,null,88888045,Violet,Indian Ocean - East,Australia,Western Australia (Montebello Islands),-20.3895794,115.5789179,0.003539854,None
1851,2796,Black Rat,Rattus rattus,Rodent,null,Good,2015,2015,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Griffiths; Richard,Island Conservation,null,459245,Tenarunga (Tenania),Pacific Ocean - South East,French Polynesia,Tuamotu Archipelago,-21.34388419,-136.5416276,4.112667178,None
1875,2900,Black Rat,Rattus rattus,Rodent,1786,Good,2014,2014,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,Pitman Helen,Director Chagos Conservation Trust,null,22735,Vache Marine,Indian Ocean - West,British Indian Ocean Territory,Chagos Archipelago,-6.234797712,71.29491808,0.198277699,None
1882,2855,Black Rat,Rattus rattus,Rodent,1800,Good,2015,2016,Successful,Whole Island,Toxicant,Trapping,NA,Bait Station,NA,Bromadiolone,Coumatetralyl,Bambini L.,he Royal Society for the Protection of Birds,https://www.rspb.org.uk/#1bUlWq5dk6hZA5CZ.99,252228,Garbh Eilean,Atlantic Ocean - North,United Kingdom,Scotland Islands (Shiant Isles),57.90040348,-6.366044729,0.87183776,None
1886,2861,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Unknown,Diphacinone,NA,Broome; Keith,NZ Dept. of Conservation,null,100935,Magojima,Pacific Ocean - North West,Japan,Ogasawara Islands (Chichijima Group),27.1948531,142.1957883,0.122986288,None
1887,2862,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,2011,Successful,Whole Island,Toxicant,Unknown,Unknown,Aerial Broadcast,Unknown,Diphacinone,NA,Broome; Keith,NZ Dept. of Conservation,null,116624,Torishima,Pacific Ocean - North West,Japan,Ogasawara Islands (Mukojima Group),27.62451662,142.1715733,0.033854488,None
1888,2863,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2011,2011,Successful,Whole Island,Toxicant,Unknown,Unknown,Aerial Broadcast,Unknown,Diphacinone,NA,Broome; Keith,NZ Dept. of Conservation,null,11288,Tatsumi-jima,Pacific Ocean - North West,Japan,Ogasawara Islands (Chichijima Group),27.04646821,142.2402234,0.048109191,None
1893,2869,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2012,2012,Successful,Incursion Response,Toxicant,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,null,null,null,240091,Cavalli,Mediterranean,Italy,Sardinian Islands,40.88545601,9.64029431,0.025908736,None
1895,2871,Black Rat,Rattus rattus,Rodent,null,Good,2017,2017,Successful,Whole Island,Toxicant,Trapping,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,null,null,null,239683,Tavolara,Mediterranean,Italy,Sardinian Islands,40.90549087,9.7125437,5.924218601,11 - 100
1899,2876,Black Rat,Rattus rattus,Rodent,null,Poor,1979,1979,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,null,null,null,241964,Dames,Atlantic Ocean - North,France,Bay of Morlaix,48.68612618,-3.88400035,0.018083142,None
1900,2877,Black Rat,Rattus rattus,Rodent,null,Poor,2000,2000,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,null,null,null,241659,Notre Dame,Atlantic Ocean - North,France,Saint Jouan des Guérets,48.62804236,-2.02681236,0.004827884,None
1910,2907,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2014,2015,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,Corson Peter,null,null,26740,Great Mercury,Pacific Ocean - South West,New Zealand,Mercury Islands,-36.61610385,175.7957877,19.97864275,Unknown
1922,2923,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1999,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Bromadiolone,Brodifacoum,null,null,null,249321,Palmaiola,Mediterranean,Italy,Tuscan Islands,42.86566825,10.47454057,0.081813582,None
1926,2927,Black Rat,Rattus rattus,Rodent,null,Good,2014,2014,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,Carr Pete,Chagos Conservation Trust,http://chagos-trust.org/,22751,Ile du Sel,Indian Ocean - West,British Indian Ocean Territory,Chagos Archipelago (Salomon Islands),-5.354667024,72.22720644,0.01729034,None
1927,3054,Black Rat,Rattus rattus,Rodent,1800,Good,2015,2016,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Bromadiolone,Coumatetralyl,Bambini L.,he Royal Society for the Protection of Birds,https://www.rspb.org.uk/#1bUlWq5dk6hZA5CZ.99,252452,Eilean Mhuire,Atlantic Ocean - North,United Kingdom,Scotland Islands (Shiant Isles),57.90224788,-6.334769474,0.321316694,None
1934,2928,Black Rat,Rattus rattus,Rodent,null,Good,2014,2014,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,Bait Station,Brodifacoum,NA,Carr Pete,Chagos Conservation Trust,http://chagos-trust.org/,22725,Jacobin,Indian Ocean - West,British Indian Ocean Territory,Chagos Archipelago (Salomon Islands),-5.349780059,72.24593583,0.022298239,None
1954,2960,Black Rat,Rattus rattus,Rodent,1987,Satisfactory,null,2000,Successful,Whole Island,Toxicant,Unknown,Unknown,Bait Station,Unknown,Unknown,Unknown,Quinn Julie,AU Department of the Environment,http://environment.gov.au/,464068,East Fairfax,Pacific Ocean - South West,Australia,Capricorn Bunker,-23.85559871,152.3768621,0.237489274,None
1955,2961,Black Rat,Rattus rattus,Rodent,1987,Satisfactory,null,2000,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Unknown,Unknown,Unknown,Quinn Julie,AU Department of the Environment,http://environment.gov.au/,453697,West Fairfax,Pacific Ocean - South West,Australia,Capricorn,-23.86026386,152.3679948,0.091715401,None
1958,3024,Black Rat,Rattus rattus,Rodent,null,Good,2016,2016,Successful,Whole Island,Toxicant,Unknown,Unknown,Bait Station,Unknown,Brodifacoum,NA,null,null,null,240442,Berlenga Grande,Atlantic Ocean - North,Portugal,Berlengas Islands,39.41517529,-9.50999848,0.832565317,11 - 100
1962,2966,Black Rat,Rattus rattus,Rodent,null,Poor,1987,1987,Successful,Whole Island,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,null,null,null,450595,Wreck,Pacific Ocean - South West,Australia,Capricorn,-23.33283906,151.9578436,0.116845726,None
2021,3076,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2014,2014,Successful,Incursion Response,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386026,York,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.05324639,-61.66916667,0.07164771,None
2023,3078,Black Rat,Rattus rattus,Rodent,null,Good,2013,2013,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386737,Culpepper,Caribbean,Barbados,Lesser Antilles (Barbados),13.16582995,-59.44335641,0.003271108,None
2036,3092,Black Rat,Rattus rattus,Rodent,null,Good,2014,2014,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,386031,Guardhouse,Caribbean,Antigua and Barbuda,Lesser Antilles (Antigua and Barbuda Islands),17.10166736,-61.70786049,0.007544853,None
2059,3060,Black Rat,Rattus rattus,Rodent,1800,Good,2015,2016,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Bromadiolone,Coumatetralyl,Bambini L.,he Royal Society for the Protection of Birds,https://www.rspb.org.uk/#1bUlWq5dk6hZA5CZ.99,252216,Eilean an Tighe,Atlantic Ocean - North,United Kingdom,Scotland Islands (Shiant Isles),57.88861537,-6.353067755,0.539135247,None
2062,3063,Black Rat,Rattus rattus,Rodent,null,Good,2011,2012,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,410594,East Cay,Caribbean,Anguilla,Lesser Antilles (Anguilla Islands),18.28495695,-63.23648902,0.016556609,None
2063,3064,Black Rat,Rattus rattus,Rodent,null,Good,2011,2012,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Daltry; Jenny,Flora and Fauna International,null,410595,Mid Cay,Caribbean,Anguilla,Lesser Antilles (Anguilla Islands),18.2869414,-63.26108932,0.020104066,None
2083,3163,Black Rat,Rattus rattus,Rodent,null,Good,2010,2010,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Ventosa; Eddie,Puerto Rico Department of Natural and Environmental Resources,null,425278,Ratones,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands; Ponce Islands),17.95274119,-66.68133496,0.053128672,None
2087,3167,Black Rat,Rattus rattus,Rodent,1825,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Bait Station,Hand Broadcast,Brodifacoum,NA,null,null,null,334236,Direction,Indian Ocean - East,Cocos (Keeling) Islands,Cocos (Keeling) Islands,-12.08964244,96.88335174,0.297769967,None
2089,3116,Black Rat,Rattus rattus,Rodent,null,Good,2013,2015,Successful,Whole Island,Trapping,NA,NA,NA,NA,NA,NA,null,null,null,420300,Cayo Maria Langa,Caribbean,Puerto Rico,Greater Antilles (Puerto Rican Islands),17.96576225,-66.75140258,0.059836997,None
2107,3120,Black Rat,Rattus rattus,Rodent,null,Good,2004,2004,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Carrion; Victor,Galapagos National Park Service,null,362273,Marielas Norte,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.595941497,-91.09092703,0.004864921,None
2108,3121,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2013,2014,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Carrion; Victor,Galapagos National Park Service,null,362253,Marielas Sur,Pacific Ocean - North East,Ecuador,Galapagos Islands,-0.599271767,-91.09055959,0.012435199,None
2128,3178,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Warfarin,NA,null,null,null,35096,Horn Rock,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34328463,-64.66621141,0.003362413,None
2130,3181,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Warfarin,NA,null,null,null,35101,Inner Pear Rock,Atlantic Ocean - North,Bermuda,Bermuda (Long Bay),32.350659,-64.65250525,0.005654728,None
2131,3182,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Warfarin,NA,null,null,null,35100,Outer Pear Rock,Atlantic Ocean - North,Bermuda,Bermuda (Long Bay),32.34867089,-64.65070699,0.002951129,None
2136,3187,Black Rat,Rattus rattus,Rodent,null,Satisfactory,1990,1999,Successful,Whole Island,Toxicant,Trapping,Unknown,Unknown,Unknown,Warfarin,NA,null,null,null,35099,Green Rock,Atlantic Ocean - North,Bermuda,Bermuda (Castle Islands),32.34452035,-64.66098877,0.002313885,None
2142,3198,Black Rat,Rattus rattus,Rodent,null,Satisfactory,2009,2010,Successful,Whole Island,Toxicant,NA,NA,Unknown,Unknown,Unknown,Unknown,McMinn M.,null,null,236371,Rates,Mediterranean,Spain,Balearic Islands (Cabrera Group),39.13268704,2.92313107,0.003590359,None
2158,3221,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,2008,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,null,null,null,240087,Proratora,Mediterranean,Italy,Sardinian Islands,40.8464801,9.723123782,0.043664838,None
2160,3227,Black Rat,Rattus rattus,Rodent,null,Satisfactory,null,1998,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Unknown,Unknown,null,null,null,252371,Eynhallow,Atlantic Ocean - North,United Kingdom,Scotland Islands (Orkney Islands),59.14407477,-3.12029052,0.726837217,None
